t	x
6.8287	1.02721e+06
6.84028	1.03021e+06
6.85185	1.03311e+06
6.86343	1.0359e+06
6.875	1.03859e+06
6.88657	1.04117e+06
6.89815	1.04364e+06
6.90972	1.046e+06
6.9213	1.04826e+06
6.93287	1.05041e+06
6.94444	1.05244e+06
6.95602	1.05437e+06
6.96759	1.05619e+06
6.97917	1.05791e+06
6.99074	1.05951e+06
7.00231	1.061e+06
7.01389	1.06239e+06
7.02546	1.06366e+06
7.03704	1.06482e+06
7.04861	1.06588e+06
7.06019	1.06682e+06
7.07176	1.06766e+06
7.08333	1.06838e+06
7.09491	1.06899e+06
7.10648	1.06949e+06
7.11806	1.06989e+06
7.12963	1.07017e+06
7.1412	1.07034e+06
7.15278	1.0704e+06
7.16435	1.07035e+06
7.17593	1.07019e+06
7.1875	1.06992e+06
7.19907	1.06954e+06
7.21065	1.06904e+06
7.22222	1.06844e+06
7.2338	1.06773e+06
7.24537	1.06691e+06
7.25694	1.06597e+06
7.26852	1.06493e+06
7.28009	1.06378e+06
7.29167	1.06251e+06
7.30324	1.06114e+06
7.31481	1.05966e+06
7.32639	1.05806e+06
7.33796	1.05636e+06
7.34954	1.05455e+06
7.36111	1.05263e+06
7.37269	1.05061e+06
7.38426	1.04847e+06
7.39583	1.04622e+06
7.40741	1.04387e+06
7.41898	1.04141e+06
7.43056	1.03884e+06
7.44213	1.03617e+06
7.4537	1.03338e+06
7.46528	1.03049e+06
7.47685	1.0275e+06
7.48843	1.0244e+06
7.5	1.02119e+06
7.51157	1.01787e+06
7.52315	1.01446e+06
7.53472	1.01093e+06
7.5463	1.00731e+06
7.55787	1.00357e+06
7.56944	999739
7.58102	995800
7.59259	991759
7.60417	987615
7.61574	983369
7.62731	979022
7.63889	974574
7.65046	970025
7.66204	965376
7.67361	960627
7.68519	955779
7.69676	950832
7.70833	945787
7.71991	940645
7.73148	935405
7.74306	930068
7.75463	924636
7.7662	919108
7.77778	913486
7.78935	907769
7.80093	901958
7.8125	896054
7.82407	890058
7.83565	883969
7.84722	877790
7.8588	871520
7.87037	865159
7.88194	858710
7.89352	852172
7.90509	845546
7.91667	838832
7.92824	832032
7.93981	825147
7.95139	818176
7.96296	811120
7.97454	803981
7.98611	796759
7.99769	789454
8.00926	782068
8.02083	774602
8.03241	767055
8.04398	759429
8.05556	751725
8.06713	743943
8.0787	736085
8.09028	728150
8.10185	720141
8.11343	712057
8.125	703899
8.13657	695669
8.14815	687367
8.15972	678994
8.1713	670552
8.18287	662039
8.19444	653459
8.20602	644811
